Serie,Temporada,numero episodio,Titulo del episodio,Sinopsis,Link Sub ,Link Lat
Supergirl,2,8,Medusa,,https://openload.co/f/aRq-Fw9XQ_M/SGS02E08.mp4,
Supergirl,2,9,Supergirl Lives,,https://openload.co/f/kRGOtStEjsc/SGS02E09.mp4,
Supergirl,2,10,We can Be heroes,,https://openload.co/f/r5iq015DEf4/SGS02E10.mp4,
Supergirl,2,11,The Martian chronicles,,,https://openload.co/f/9Lw1Snk8S3M/SGS02E11LAT.mp4
Supergirl,2,12,Luthors,,https://openload.co/f/EoG8TQrZKdo/SGS02E12.mp4,https://openload.co/f/aVI_mB-57MA/SGS02E12LAT.mp4
Supergirl,2,13,Mr & Mrs Mxyzptlk,,https://openload.co/f/Qd-SPIXPUKc/SGS02E13.mp4,https://openload.co/f/OiydrX6W7Gw/SGS02E13LAT.mp4
Supergirl,2,14,Homecoming,,https://openload.co/f/NGvNQJJm86U/SGS02E14.mp4,https://openload.co/f/Xmg7f3T_a8s/SGS02E14LAT.mp4
Supergirl,2,15,Exodus,,,https://openload.co/f/kJ4HrjHR0j0/SGS02E15HDLAT.mp4
Supergirl,2,16,Star-Crossed,,https://openload.co/f/8B7Ok4bCeoo/SGS02E16HDSUB.mp4,
Dragon ball,2,17,Distant Sun,,,
Dragon ball,2,18,Ace Reporter,,https://openload.co/f/tAW1yX5yYos/Supergirl.S02E18.720p.HDTV.x264-SVA.mkv.mp4,
